LocalGovernment,Community Amenities,Economic Services,Education and Welfare	,General Purpose Funding	,Governance,Health,Housing,Law Order Public Safety,Other Property and Services,Recreation and Culture,Transport	
South Perth,8770866,724346,601882,658001,6334425,482600,2394308,843358,995709,17170325,12892744
Stirling,41918240,5333438,14055503,694689,10618585,2354150,0,7224557,9856887,60198855,34413457
Subiaco	,6491494,4658159,3147036,1060376,3620872,682675,0,1132507,2118324,13034921,10108678
Swan,20646921,5288483,8220068,2038377,10196564,1616051,106826,5794484,2878328,41305914,33630303
Tammin,174412,100708,107126,92140,273702,19969,0,21536,259258,518632,1299818
Three Springs,163086,76346,90611,21349,221222,213443,325898,290687,52063,914242,1399171
Toodyay,1211499,1141285,0,352690,763173,211623,97312,1141697,202853,1709238,2629032
Trayning,187423,1010900,35690,85212,290590,181966,158782,71698,53471,638521,971430
Upper Gascoyne,113493,99616,189088,87078,455401,6822,198836,196457,222853,2024904,3927560
Victoria Park,6714943,1397690,872241,528106,458674,1504184,0,3881595,5124205,16807904,9826783
Victoria Plains,273221,137094,30264,231663,351307,87606,177716,283209,56923,616494,2086281
Vincent	,8842025,678330,1290551,695252,2565486,1058758,0,1253980,2384077,22313848,12860706
Wagin,579713,241681,443434,446765,391473,319529,0,267356,1683034,1030624,1432071
Wandering,130390,774001,3472,101184,59123,25229,43124,90902,5514,140831,1146528
Wanneroo,35556111,4174683,9825889,2128240,8608531,2221378,0,6058280,5830943,51339798,36094007
Waroona	,1419818,290873,175089,109407,1350065,268106,18648,435132,73853,2481896,2470068
West Arthur,300253,97565,190646,78523,300108,84595,937476,216855,197396,562875,1437426
Westonia,77286,288567,16527,39492,316281,21238,134378,49041,154703,441231,1675455
Wickepin,339968,223861,9167,93503,389678,41925,167340,151870,81958,1130275,1635758
Williams,182899,105957,337073,24123,284058,75234,145090,57957,185581,752902,1053968
Wiluna,577454,292153,47855,227367,982273,78328,0,121284,19063,1336090,4719788
Woodanilling,189703,67636,7765,13919,197402,26453,67686,119457,137704,229943,1896704
Wyalkatchem,203623,56881,6430,57283,217849,416392,231394,82217,3574,543345,1239120
Wyndham-East Kimberley,3908442,463318,318501,479648,1654584,304018,643030,522068,1585695,6058653,11143926
Yalgoo,205691,607725,6124,330562,510056,86972,387817,134779,17094,647322,3321651
Yilgarn	,1868597,1559713,914505,432179,338939,237407,455737,419964,224074,2995446,4790787
York,1154913,605570,87625,405739,850920,270549,0,378671,714771,2403432,2563534
